stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_lat,stop_lon
ROD_72201,,El Vendrell,,,,,,,,41.221184,1.537743
ROD_72202,,L'Arboç,,,,,,,,41.273025,1.60012
ROD_72203,,Els Monjos,,,,,,,,41.314752,1.659853
ROD_72204,,Vilafranca del Penedès,,,,,,,,41.344811,1.703112
ROD_72205,,La Granada,,,,,,,,41.371016,1.725036
ROD_72206,,Lavern - Subirats,,,,,,,,41.395657,1.768182
ROD_72207,,Sant Sadurní d'Anoia,,,,,,,,41.420588,1.794639
ROD_72208,,Gelida,,,,,,,,41.448531,1.865498
ROD_72209,,Martorell Centre,,,,,,,,41.478787,1.926459
ROD_72210,,Castellbisbal,,,,,,,,41.47347230985962,1.967614436382816
ROD_72211,,El Papiol,,,,,,,,41.435393,2.002647
ROD_72300,,Molins de Rei,,,,,,,,41.409844,2.02057
ROD_72301,,Sant Feliu de Llobregat,,,,,,,,41.382935,2.047834
ROD_72302,,Sant Joan Despí,,,,,,,,41.36854,2.060147
ROD_72303,,Cornellà,,,,,,,,41.357469,2.070566
ROD_72400,,Aeroport,,,,,,,,41.30441667936479,2.0738758007006
ROD_72501,,Rubí Centre,,,,,,,,41.475178,2.0371
ROD_72502,,Sant Cugat Coll Favà,,,,,,,,41.480973,2.079731
ROD_72503,,Cerdanyola Universitat,,,,,,,,41.497107,2.115482
ROD_73100,,La Plana - Picamoixons,,,,,,,,41.30597,1.197665
ROD_76001,,Salomó,,,,,,,,41.223474,1.376617
ROD_76002,,Vilabella,,,,,,,,41.240312,1.315601
ROD_76003,,Nulles - Bràfim,,,,,,,,41.250306,1.297449
ROD_76004,,Valls,,,,,,,,41.28963,1.258734
ROD_77002,,Montcada Ripollet,,,,,,,,41.496841,2.181941
ROD_77003,,Santa Perpètua de Mogoda la Florida,,,,,,,,41.521686,2.194315
ROD_72508,,Santa Perpètua de Mogoda Riera de Caldes,,,,,,,,41.526327,2.186463
ROD_77004,,Mollet Santa Rosa,,,,,,,,41.536597,2.206189
ROD_77005,,Parets del Vallès,,,,,,,,41.556292,2.225992
ROD_77006,,Granollers - Canovelles,,,,,,,,41.611416,2.277008
ROD_77100,,Les Franqueses del Vallès,,,,,,,,41.629722,2.295206
ROD_77102,,La Garriga,,,,,,,,41.684469,2.288748
ROD_77103,,Figaró,,,,,,,,41.720987,2.271625
ROD_77104,,Sant Martí de Centelles - Aiguafreda,,,,,,,,41.760583,2.24893
ROD_77105,,Centelles,,,,,,,,41.799375,2.222478
